Date,Alcohol1,Alcohol2,low_score,male,white,recidivism,acc,aged,year,bac1,bac2
29oct2005,122,109,109,1,1,0,0,21,2005,.122,.109
22sep2006,96,92,92,1,1,0,0,36,2006,.096000001,.092
14oct2007,154,146,146,1,1,0,0,25,2007,.154,.146
10jun2007,73,73,73,1,1,0,0,32,2007,.072999999,.072999999
06jun2004,145,143,143,1,1,0,1,37,2004,.145,.14300001
25dec2002,221,217,217,1,1,0,1,28,2002,.221,.21699999
21mar1999,210,206,206,1,1,0,1,32,1999,.20999999,.206
25oct2003,129,133,129,1,1,0,0,22,2003,.12899999,.133
12feb2005,152,146,146,1,0,1,0,24,2005,.152,.146
01nov2001,191,183,183,0,1,1,0,46,2001,.191,.183
02jul2001,204,206,204,1,1,0,0,23,2001,.204,.206
26nov2004,177,179,177,1,1,0,0,29,2004,.177,.17900001
26aug1999,83,85,83,0,1,0,0,24,1999,.082999997,.085000001
11jan2002,88,86,86,0,1,0,0,32,2002,.088,.086000003
04mar2005,64,63,63,1,1,0,0,39,2005,.064000003,.063000001
06aug2002,104,103,103,1,1,0,0,22,2002,.104,.103
29aug2004,200,200,200,1,1,0,0,33,2004,.2,.2
06jul2000,11,9,9,1,0,0,1,23,2000,.011,.0089999996
13mar1999,184,185,184,0,1,0,0,24,1999,.184,.185
23dec2006,160,157,157,1,1,0,0,41,2006,.16,.15700001
15oct2006,118,115,115,1,1,0,0,26,2006,.118,.115
08jan2000,164,162,162,1,1,0,0,32,2000,.164,.162
27oct2007,4,4,4,1,1,0,0,24,2007,.0040000002,.0040000002
09apr2000,77,80,77,0,1,1,0,30,2000,.077,.079999998
05nov2003,104,101,101,1,1,0,0,43,2003,.104,.101
15apr1999,166,173,166,1,1,0,0,73,1999,.16599999,.17299999
25jun2006,48,47,47,1,0,0,0,27,2006,.048,.046999998
21nov2003,229,233,229,0,1,1,0,46,2003,.229,.233
28sep2002,104,111,104,1,0,0,0,37,2002,.104,.111
13apr2006,166,166,166,0,1,0,0,55,2006,.16599999,.16599999
05sep2002,118,115,115,1,1,0,0,38,2002,.118,.115
27nov2004,162,166,162,1,1,0,0,36,2004,.162,.16599999
26jul2001,158,171,158,1,1,0,0,27,2001,.15800001,.171
28feb2003,120,117,117,1,1,0,0,44,2003,.12,.117
24dec2002,172,175,172,1,1,0,0,23,2002,.17200001,.175
22dec2006,87,86,86,0,0,0,0,26,2006,.086999997,.086000003
30jul1999,211,211,211,1,1,0,1,27,1999,.211,.211
29aug1999,214,201,201,1,1,1,0,56,1999,.214,.20100001
25oct2005,164,165,164,1,1,0,0,25,2005,.164,.16500001
25oct2006,166,162,162,1,1,0,1,44,2006,.16599999,.162
17mar2007,164,161,161,0,1,0,0,40,2007,.164,.161
02feb2004,226,219,219,1,1,0,0,30,2004,.226,.219
11jul2007,219,225,219,0,1,0,1,47,2007,.219,.22499999
15oct2005,172,159,159,1,0,0,0,32,2005,.17200001,.15899999
20mar2004,46,45,45,0,1,1,1,52,2004,.046,.045000002
06may2007,141,137,137,1,1,1,1,22,2007,.141,.13699999
31dec1999,258,259,258,1,0,0,0,23,1999,.25799999,.259
17feb2006,164,156,156,1,1,0,0,22,2006,.164,.156
29apr1999,142,142,142,1,1,1,0,21,1999,.142,.142
16nov1999,134,132,132,1,1,0,0,36,1999,.134,.132
10aug1999,141,140,140,1,1,0,0,26,1999,.141,.14
23may2000,163,163,163,0,1,0,0,22,2000,.163,.163
24dec2004,155,158,155,0,1,0,0,35,2004,.155,.15800001
06jan1999,231,245,231,1,1,0,0,45,1999,.23100001,.245
12jun2006,105,102,102,0,1,0,0,43,2006,.105,.102
08jan2000,199,187,187,1,1,0,0,24,2000,.199,.18700001
01may2000,199,201,199,1,1,0,0,44,2000,.199,.20100001
04jan1999,118,114,114,1,1,1,0,56,1999,.118,.114
23oct2004,160,164,160,1,1,0,0,21,2004,.16,.164
29jul2007,201,193,193,1,0,0,0,62,2007,.20100001,.193
06apr2007,84,82,82,1,1,0,0,45,2007,.083999999,.082000002
19apr2003,212,210,210,1,1,0,0,39,2003,.212,.20999999
29nov2003,163,160,160,0,1,0,0,29,2003,.163,.16
01apr2001,125,129,125,1,1,0,0,30,2001,.125,.12899999
14may2006,282,277,277,1,1,0,0,34,2006,.28200001,.27700001
09sep2004,39,32,32,0,1,0,1,39,2004,.039000001,.032000002
12apr2004,0,0,0,1,1,0,0,42,2004,0,0
13oct2007,150,150,150,1,1,0,0,45,2007,.15000001,.15000001
01mar2001,193,184,184,1,1,0,0,25,2001,.193,.184
11oct2003,153,162,153,1,1,0,0,37,2003,.153,.162
14jul2003,165,158,158,1,1,0,0,29,2003,.16500001,.15800001
08may2005,131,133,131,1,1,0,0,22,2005,.131,.133
11nov2007,189,179,179,0,1,0,1,23,2007,.189,.17900001
29aug2007,170,167,167,0,1,0,0,36,2007,.17,.167
17mar2004,119,122,119,0,1,0,0,40,2004,.119,.122
02may2005,121,118,118,1,1,0,0,43,2005,.121,.118
18mar2001,192,206,192,1,1,0,0,28,2001,.192,.206
08aug2007,110,115,110,1,1,0,0,45,2007,.11,.115
23nov2006,117,116,116,1,1,0,1,24,2006,.117,.116
08apr2007,191,193,191,1,0,0,1,46,2007,.191,.193
22nov2007,67,64,64,1,1,0,0,25,2007,.067000002,.064000003
23apr2005,138,140,138,1,1,0,0,26,2005,.138,.14
18feb2002,190,192,190,1,1,0,0,31,2002,.19,.192
02feb2005,129,126,126,1,1,0,0,41,2005,.12899999,.126
21dec2001,179,190,179,1,1,0,0,22,2001,.17900001,.19
28sep2007,168,166,166,1,0,0,0,27,2007,.168,.16599999
17sep2006,197,199,197,1,1,1,0,53,2006,.197,.199
23nov2003,104,101,101,0,0,0,0,23,2003,.104,.101
28nov2004,135,138,135,1,1,0,0,46,2004,.13500001,.138
11jan2004,132,130,130,1,1,0,0,34,2004,.132,.13
21oct2006,135,139,135,1,1,0,0,23,2006,.13500001,.139
09mar2002,142,132,132,0,1,1,0,23,2002,.142,.132
09apr1999,207,215,207,1,1,0,0,33,1999,.207,.215
25may2007,144,146,144,1,1,0,1,27,2007,.14399999,.146
26sep2004,113,111,111,1,1,1,0,55,2004,.113,.111
08jun2007,148,141,141,1,1,0,0,24,2007,.148,.141
07apr2002,179,179,179,1,1,0,0,24,2002,.17900001,.17900001
21aug1999,130,136,130,1,1,1,0,22,1999,.13,.13600001
18sep2004,81,80,80,0,1,0,0,47,2004,.081,.079999998
07jul2002,198,208,198,0,1,0,0,48,2002,.198,.208
04may2007,177,179,177,1,1,0,1,69,2007,.177,.17900001
18apr2004,243,233,233,1,1,0,0,28,2004,.243,.233
19aug2005,136,129,129,1,1,1,1,25,2005,.13600001,.12899999
05jun1999,153,158,153,1,1,0,0,40,1999,.153,.15800001
15sep2000,108,105,105,0,0,0,1,23,2000,.108,.105
09sep2001,235,223,223,1,1,1,0,41,2001,.235,.223
11may2005,154,153,153,1,1,0,0,56,2005,.154,.153
20dec2002,133,134,133,1,1,0,0,29,2002,.133,.134
02may2007,265,263,263,1,1,0,0,48,2007,.26499999,.26300001
26jan2005,46,44,44,1,1,1,0,23,2005,.046,.044
14jul2001,100,98,98,1,1,0,0,39,2001,.1,.097999997
23dec1999,60,54,54,1,0,0,0,29,1999,.059999999,.054000001
01jan2005,88,89,88,1,1,0,0,24,2005,.088,.089000002
29may2005,169,177,169,1,1,0,1,25,2005,.169,.177
29aug2004,99,110,99,1,1,0,0,34,2004,.098999999,.11
24mar2001,164,175,164,1,1,0,0,47,2001,.164,.175
09oct2004,128,125,125,1,1,0,0,24,2004,.12800001,.125
07aug2000,100,94,94,1,1,0,0,50,2000,.1,.093999997
21nov2007,200,197,197,1,1,0,0,46,2007,.2,.197
02sep2000,143,138,138,1,1,0,1,33,2000,.14300001,.138
06feb2001,159,158,158,1,1,0,0,22,2001,.15899999,.15800001
28oct2001,186,195,186,1,1,0,0,35,2001,.186,.19499999
05mar2006,191,189,189,1,1,0,0,22,2006,.191,.189
07oct2007,244,248,244,1,0,0,1,22,2007,.244,.248
03jun2005,196,190,190,1,0,0,1,25,2005,.19599999,.19
24aug2001,168,165,165,1,1,0,0,36,2001,.168,.16500001
11dec2007,144,144,144,1,0,0,0,26,2007,.14399999,.14399999
08jun2003,126,126,126,1,1,0,0,33,2003,.126,.126
15apr2001,151,152,151,1,1,0,0,21,2001,.15099999,.152
24apr2003,134,135,134,1,1,0,0,23,2003,.134,.13500001
16nov2003,129,127,127,1,1,0,0,30,2003,.12899999,.127
07sep2007,104,106,104,1,0,1,0,30,2007,.104,.106
30jul1999,186,195,186,1,1,0,0,53,1999,.186,.19499999
29jan2005,138,129,129,0,1,0,0,40,2005,.138,.12899999
23dec1999,113,106,106,1,1,0,1,38,1999,.113,.106
17aug2003,131,130,130,1,1,0,0,23,2003,.131,.13
11jul2006,195,190,190,0,1,0,1,26,2006,.19499999,.19
31may2007,137,142,137,1,1,0,0,23,2007,.13699999,.142
11may2002,85,86,85,1,1,0,0,26,2002,.085000001,.086000003
29mar2004,150,146,146,1,1,0,0,34,2004,.15000001,.146
12sep1999,120,123,120,1,1,0,0,22,1999,.12,.123
22aug2005,120,123,120,1,0,0,0,24,2005,.12,.123
13jul2002,147,144,144,0,1,0,1,28,2002,.147,.14399999
03apr2001,183,169,169,1,1,0,0,27,2001,.183,.169
15sep2007,96,95,95,1,1,0,0,54,2007,.096000001,.094999999
27nov1999,117,112,112,0,1,0,0,47,1999,.117,.112
14aug1999,136,136,136,1,1,0,0,40,1999,.13600001,.13600001
06feb1999,107,107,107,1,1,0,0,27,1999,.107,.107
24feb2001,144,140,140,1,1,0,0,39,2001,.14399999,.14
07sep2001,190,190,190,1,1,0,0,36,2001,.19,.19
18mar2004,132,127,127,1,1,0,0,23,2004,.132,.127
09oct1999,219,213,213,1,1,0,1,22,1999,.219,.213
15dec2002,99,97,97,0,1,0,0,32,2002,.098999999,.097000003
03jan2002,58,56,56,0,1,0,0,36,2002,.057999998,.056000002
18jan2003,141,137,137,0,1,0,0,29,2003,.141,.13699999
15mar2005,43,41,41,1,1,1,0,55,2005,.043000001,.041000001
16jun2003,111,113,111,0,1,0,0,22,2003,.111,.113
07nov2005,122,114,114,1,1,0,0,41,2005,.122,.114
29mar2001,174,166,166,1,1,0,1,22,2001,.17399999,.16599999
31jan2000,102,103,102,0,1,0,0,31,2000,.102,.103
18sep2001,171,166,166,1,1,0,0,54,2001,.171,.16599999
02feb2004,81,89,81,1,1,0,1,26,2004,.081,.089000002
06jun2004,214,211,211,1,1,0,0,57,2004,.214,.211
04sep2006,131,134,131,1,1,0,0,23,2006,.131,.134
10jul2005,139,129,129,0,1,0,0,29,2005,.139,.12899999
25sep2004,181,185,181,1,1,0,1,27,2004,.18099999,.185
29jan2003,185,174,174,1,0,0,0,22,2003,.185,.17399999
08aug2007,151,154,151,0,1,0,0,24,2007,.15099999,.154
25dec2006,100,93,93,0,0,0,0,37,2006,.1,.093000002
20jul2005,111,106,106,1,0,0,0,38,2005,.111,.106
02jan1999,107,108,107,0,1,0,0,25,1999,.107,.108
18jan2000,163,163,163,1,1,0,1,52,2000,.163,.163
25may1999,141,137,137,1,1,0,0,22,1999,.141,.13699999
12jun2004,234,233,233,1,1,0,0,54,2004,.234,.233
30nov2001,70,67,67,0,1,0,0,51,2001,.07,.067000002
19may2005,145,142,142,0,1,0,0,42,2005,.145,.142
09jul1999,40,43,40,1,1,0,0,57,1999,.039999999,.043000001
25nov1999,178,172,172,1,1,0,0,35,1999,.178,.17200001
25feb2005,168,166,166,1,1,0,0,33,2005,.168,.16599999
23mar2003,198,198,198,0,1,0,0,39,2003,.198,.198
23jan2004,169,169,169,0,1,0,0,43,2004,.169,.169
10mar2006,96,97,96,0,1,0,0,21,2006,.096000001,.097000003
28may2005,87,88,87,1,1,0,0,29,2005,.086999997,.088
09aug2007,85,85,85,0,1,0,0,21,2007,.085000001,.085000001
17mar2007,148,150,148,1,1,0,1,25,2007,.148,.15000001
15may2005,192,190,190,1,0,0,1,24,2005,.192,.19
26nov1999,129,136,129,1,1,0,0,48,1999,.12899999,.13600001
02apr2004,157,151,151,0,1,0,0,24,2004,.15700001,.15099999
22jul2001,109,110,109,0,1,0,0,28,2001,.109,.11
18jun2003,114,108,108,1,1,0,0,21,2003,.114,.108
02mar2001,120,118,118,1,1,0,0,48,2001,.12,.118
01aug2007,125,121,121,1,1,0,0,49,2007,.125,.121
10apr2004,106,113,106,0,1,0,0,46,2004,.106,.113
30nov2001,50,44,44,1,0,0,0,32,2001,.050000001,.044
26apr2007,143,151,143,0,1,0,1,66,2007,.14300001,.15099999
11may1999,131,133,131,1,0,0,0,23,1999,.131,.133
08apr2007,66,65,65,1,1,0,0,29,2007,.066,.064999998
08dec2005,171,178,171,1,1,0,1,31,2005,.171,.178
15dec2002,185,181,181,1,1,0,0,25,2002,.185,.18099999
18may2003,85,85,85,1,0,0,0,41,2003,.085000001,.085000001
09oct1999,184,190,184,1,1,0,0,24,1999,.184,.19
08dec2004,196,186,186,1,1,1,0,26,2004,.19599999,.186
17nov2001,126,131,126,1,1,0,0,21,2001,.126,.131
20jun2004,139,136,136,1,1,0,0,24,2004,.139,.13600001
17jun2003,107,103,103,1,1,0,0,26,2003,.107,.103
16jan2004,105,101,101,0,1,0,0,23,2004,.105,.101
09aug2003,100,94,94,1,1,0,1,21,2003,.1,.093999997
26aug2002,155,150,150,1,1,1,0,43,2002,.155,.15000001
09jul2005,300,292,292,1,1,0,0,48,2005,.30000001,.292
18jun2006,106,111,106,1,0,0,0,24,2006,.106,.111
21mar2004,141,133,133,1,1,1,0,22,2004,.141,.133
13sep2005,143,135,135,0,1,0,0,51,2005,.14300001,.13500001
01jan2003,90,90,90,1,1,1,0,37,2003,.090000004,.090000004
28apr2003,150,148,148,0,1,0,0,26,2003,.15000001,.148
27feb2005,102,106,102,1,1,0,0,52,2005,.102,.106
18jun2004,198,202,198,1,1,0,0,30,2004,.198,.20200001
19dec2004,73,71,71,1,1,0,0,22,2004,.072999999,.071000002
01mar2005,181,178,178,1,1,0,0,38,2005,.18099999,.178
08sep2004,186,178,178,1,0,0,0,48,2004,.186,.178
14sep2004,128,129,128,1,1,0,1,43,2004,.12800001,.12899999
18may2002,148,148,148,1,1,0,0,26,2002,.148,.148
01dec2004,214,212,212,1,1,1,0,33,2004,.214,.212
09jan2004,79,73,73,1,1,0,0,45,2004,.079000004,.072999999
31aug2006,194,186,186,1,0,0,0,36,2006,.19400001,.186
16jan1999,177,190,177,0,1,0,0,78,1999,.177,.19
14jan2002,195,194,194,1,1,0,0,33,2002,.19499999,.19400001
28sep2002,136,138,136,1,0,0,0,27,2002,.13600001,.138
06oct2002,159,152,152,1,1,0,0,30,2002,.15899999,.152
27dec1999,289,283,283,1,1,1,0,33,1999,.289,.28299999
27jun2003,258,247,247,1,1,0,0,38,2003,.25799999,.24699999
11mar2007,79,76,76,1,0,0,0,28,2007,.079000004,.075999998
10jan2000,278,270,270,0,1,0,0,35,2000,.278,.27000001
01jan2005,140,133,133,1,1,0,0,51,2005,.14,.133
02sep2007,103,110,103,1,0,0,0,27,2007,.103,.11
29jul2000,174,173,173,1,1,1,0,35,2000,.17399999,.17299999
05sep2004,132,130,130,0,1,0,0,38,2004,.132,.13
12jan2002,105,103,103,1,1,0,1,54,2002,.105,.103
22may2002,166,154,154,0,1,0,1,30,2002,.16599999,.154
08sep2007,118,121,118,0,1,0,0,22,2007,.118,.121
07nov2005,186,178,178,1,0,0,0,24,2005,.186,.178
03jun2005,63,62,62,1,1,0,0,42,2005,.063000001,.061999999
15may2004,188,190,188,1,1,0,0,33,2004,.18799999,.19
15jun2003,233,220,220,1,1,0,0,42,2003,.233,.22
27jan2005,218,220,218,1,1,0,0,21,2005,.21799999,.22
07nov2000,32,31,31,0,1,0,0,41,2000,.032000002,.030999999
30oct1999,223,218,218,1,1,1,0,27,1999,.223,.21799999
10dec2005,104,101,101,1,1,0,0,43,2005,.104,.101
02jun2007,79,83,79,1,1,0,0,25,2007,.079000004,.082999997
22apr1999,168,173,168,1,1,0,0,58,1999,.168,.17299999
22jun2002,173,177,173,1,1,0,0,24,2002,.17299999,.177
12may2006,175,168,168,1,1,0,0,45,2006,.175,.168
08aug1999,239,248,239,1,1,0,0,47,1999,.23899999,.248
30jan2003,188,193,188,0,0,1,0,52,2003,.18799999,.193
20nov2003,99,100,99,0,1,0,0,27,2003,.098999999,.1
24dec2006,134,136,134,1,0,0,1,21,2006,.134,.13600001
13feb1999,155,156,155,0,0,0,0,41,1999,.155,.156
31may2004,93,88,88,1,1,0,0,25,2004,.093000002,.088
13jul2006,158,145,145,1,1,0,1,25,2006,.15800001,.145
22jun2001,145,151,145,1,1,0,0,49,2001,.145,.15099999
11aug2002,99,95,95,1,1,0,0,24,2002,.098999999,.094999999
24aug2001,168,167,167,1,1,0,0,46,2001,.168,.167
20jun2007,179,168,168,1,0,0,0,21,2007,.17900001,.168
19mar2005,86,86,86,0,1,0,0,30,2005,.086000003,.086000003
10apr2001,92,92,92,1,1,0,0,28,2001,.092,.092
09dec2000,144,132,132,1,1,1,0,29,2000,.14399999,.132
24jan2002,134,125,125,1,0,1,0,24,2002,.134,.125
28mar2004,97,97,97,1,1,0,1,26,2004,.097000003,.097000003
27nov2004,136,144,136,1,1,0,1,22,2004,.13600001,.14399999
03jun2001,90,91,90,1,1,0,0,37,2001,.090000004,.090999998
20sep2003,127,131,127,1,1,0,0,22,2003,.127,.131
29nov2002,125,121,121,1,1,0,0,30,2002,.125,.121
16sep2000,201,188,188,1,1,0,0,28,2000,.20100001,.18799999
17sep2006,101,106,101,1,1,1,0,21,2006,.101,.106
21mar2006,78,75,75,0,1,0,0,44,2006,.078000002,.075000003
16mar2000,132,137,132,1,1,0,0,22,2000,.132,.13699999
12mar2003,124,120,120,1,1,0,0,23,2003,.124,.12
09aug2003,219,231,219,1,1,0,0,49,2003,.219,.23100001
02dec2005,146,138,138,1,1,0,0,21,2005,.146,.138
13jan2000,122,117,117,1,1,0,0,22,2000,.122,.117
07dec1999,156,144,144,1,1,0,1,34,1999,.156,.14399999
18dec2003,64,64,64,1,1,0,0,52,2003,.064000003,.064000003
22feb2003,201,190,190,1,0,0,0,45,2003,.20100001,.19
24dec2006,106,105,105,1,1,0,0,58,2006,.106,.105
08nov2003,91,89,89,1,1,0,0,44,2003,.090999998,.089000002
21oct2006,165,174,165,1,0,1,0,38,2006,.16500001,.17399999
15may2004,14,14,14,1,1,0,0,21,2004,.014,.014
17aug2007,187,178,178,1,1,0,0,46,2007,.18700001,.178
05feb2005,175,180,175,1,1,1,0,38,2005,.175,.18000001
25mar1999,126,113,113,1,1,0,0,38,1999,.126,.113
13dec2004,43,43,43,1,1,0,0,28,2004,.043000001,.043000001
06may2001,142,145,142,1,1,0,0,26,2001,.142,.145
31jul2002,159,154,154,1,1,0,0,24,2002,.15899999,.154
18sep2005,145,143,143,1,1,0,0,29,2005,.145,.14300001
03oct2007,142,142,142,1,1,0,0,32,2007,.142,.142
28aug2003,63,64,63,1,1,0,0,41,2003,.063000001,.064000003
08oct2000,127,137,127,1,1,0,0,21,2000,.127,.13699999
06jun2006,74,74,74,1,0,0,0,38,2006,.074000001,.074000001
15jul1999,207,208,207,1,1,0,0,51,1999,.207,.208
02may2003,174,183,174,1,1,0,0,61,2003,.17399999,.183
25jan2003,190,193,190,0,1,0,0,38,2003,.19,.193
17mar2002,179,177,177,1,1,0,0,21,2002,.17900001,.177
18jan2006,149,144,144,1,1,1,0,33,2006,.149,.14399999
27jun2005,240,234,234,0,1,0,1,39,2005,.23999999,.234
17feb2000,184,183,183,1,1,0,1,42,2000,.184,.183
20apr2001,69,69,69,1,1,0,0,44,2001,.068999998,.068999998
19nov2007,232,225,225,1,1,0,0,66,2007,.23199999,.22499999
08may2004,93,92,92,1,1,0,0,21,2004,.093000002,.092
13nov2007,138,139,138,0,1,1,0,58,2007,.138,.139
27jan2005,128,121,121,0,1,0,0,28,2005,.12800001,.121
01feb2005,149,150,149,1,1,0,0,27,2005,.149,.15000001
09mar2005,123,116,116,1,0,1,0,27,2005,.123,.116
18jun2004,81,81,81,1,1,0,0,59,2004,.081,.081
20sep2006,191,202,191,1,0,0,1,48,2006,.191,.20200001
14aug2003,148,135,135,0,1,0,0,33,2003,.148,.13500001
04jul2000,78,77,77,1,0,0,0,22,2000,.078000002,.077
18sep2003,151,150,150,0,1,0,0,46,2003,.15099999,.15000001
24nov2000,100,98,98,0,1,0,0,36,2000,.1,.097999997
29sep2004,174,173,173,0,1,1,0,25,2004,.17399999,.17299999
17sep2000,281,280,280,1,1,0,0,51,2000,.28099999,.28
13jan2002,115,111,111,1,1,0,0,22,2002,.115,.111
14sep2000,26,25,25,1,1,0,1,33,2000,.026000001,.025
02may2001,94,90,90,1,1,0,0,41,2001,.093999997,.090000004
09jun2002,99,103,99,1,1,0,0,42,2002,.098999999,.103
15feb2004,196,187,187,0,1,0,0,44,2004,.19599999,.18700001
03mar2002,84,83,83,1,1,0,0,46,2002,.083999999,.082999997
31mar2001,82,82,82,1,1,0,0,30,2001,.082000002,.082000002
15aug1999,109,115,109,0,1,0,0,48,1999,.109,.115
02nov2003,71,69,69,0,0,0,0,21,2003,.071000002,.068999998
12jul2007,145,142,142,1,1,0,0,30,2007,.145,.142
18aug2003,92,91,91,1,1,0,0,23,2003,.092,.090999998
23may2005,144,145,144,1,1,0,0,23,2005,.14399999,.145
18jan2006,103,102,102,1,1,0,0,46,2006,.103,.102
09jan2000,77,85,77,1,0,0,0,29,2000,.077,.085000001
25may2002,168,176,168,1,1,0,0,22,2002,.168,.176
04jul2000,256,259,256,0,1,1,0,38,2000,.25600001,.259
23apr2006,201,204,201,1,1,0,0,46,2006,.20100001,.204
03dec2005,112,111,111,1,1,0,0,25,2005,.112,.111
19jun1999,143,150,143,1,1,0,0,22,1999,.14300001,.15000001
06apr2007,95,100,95,1,0,1,0,23,2007,.094999999,.1
01nov2005,163,160,160,1,0,1,1,57,2005,.163,.16
02sep2005,126,130,126,1,1,0,0,21,2005,.126,.13
15jul2000,117,109,109,1,1,1,1,25,2000,.117,.109
17jul2005,197,198,197,1,1,0,0,29,2005,.197,.198
18mar2007,165,177,165,1,0,0,0,26,2007,.16500001,.177
09mar2007,197,192,192,1,0,0,0,30,2007,.197,.192
18may2006,0,0,0,0,1,0,0,49,2006,0,0
18jan2006,142,134,134,1,1,0,0,28,2006,.142,.134
27jun2004,48,47,47,1,1,0,1,21,2004,.048,.046999998
08mar2007,247,239,239,0,1,1,0,42,2007,.24699999,.23899999
17sep2001,141,130,130,1,1,0,1,24,2001,.141,.13
21dec2002,234,235,234,1,1,0,1,29,2002,.234,.235
24may2004,73,70,70,1,1,1,0,47,2004,.072999999,.07
10sep2006,152,146,146,0,1,0,0,76,2006,.152,.146
01mar2002,57,57,57,1,1,0,0,23,2002,.057,.057
18nov2003,118,120,118,0,1,0,0,59,2003,.118,.12
24jul2004,4,3,3,1,0,0,0,55,2004,.0040000002,.003
04jun2003,126,133,126,1,1,0,0,40,2003,.126,.133
16oct1999,120,117,117,0,1,0,0,45,1999,.12,.117
09apr2000,133,144,133,0,1,0,0,21,2000,.133,.14399999
09feb2006,129,135,129,1,1,0,0,43,2006,.12899999,.13500001
16aug2006,177,188,177,1,1,0,0,25,2006,.177,.18799999
18jan1999,139,140,139,1,1,0,0,43,1999,.139,.14
